No.,Name,Email,Source,Date,Location,Language,Scheduled Date,Type
1,Amit ,amit.sharma@email.com,Web,1/4/2026,Delhi,Hindi,5/4/2026,warm
2,Priya,priya.nair@email.com,Referral,2/4/2026,Mumbai,English,6/4/2026,hot 
3,Rahul,rahul.patil@email.com,Ad Campaign,3/4/2026,Pune,Kannada,7/4/2026,cold
4,Anil,anil.kumar@email.com,Web,4/4/2026,Bangalore,Marathi,8/4/2026,warm
5,Sneha,sneha.verma@email.com,Email,5/4/2026,Lucknow,Hindi,9/4/2026,hot 
6,Rohan,rohan.das@email.com,Referral,6/4/2026,Kolkata,English,10/4/2026,cold
7,Meena,meena.k@email.com,Ad Campaign,7/4/2026,Nagpur,Kannada,11/4/2026,warm
8,Suresh,suresh.g@email.com,Web,8/4/2026,Mysore,Marathi,12/4/2026,hot 
9,Rohan,rohan.k@email.com,Referral,6/4/2026,Kolkata,Bengali,8/4/2026,cold
10,Meena,meena.das@email.com,Ad Campaign,7/4/2026,Nagpur,Bengali,9/4/2026,warm
